uri,Alias,Genotype,Treatment,Repetition,Sowing,Harvesting,Biomass(gramos_pesofresco)
http://www.phenome-fppn.fr/m3p/arch/2017/c17001263,1263/DZ_PG_62/ZM4393/WW/Rep_6/22_03/ARCH2017-03-30,iPG303,WW,6,06/04/2017,14/06/2017,651
http://www.phenome-fppn.fr/m3p/arch/2017/c17001264,1264/DZ_PG_40/ZM4390/WW/Rep_6/22_04/ARCH2017-03-30,iPG176,WW,6,06/04/2017,16/06/2017,581
http://www.phenome-fppn.fr/m3p/arch/2017/c17001265,1265/DZ_PG_09/ZM4368/WW/Rep_6/22_05/ARCH2017-03-30,iPG066,WW,6,06/04/2017,08/06/2017,639
http://www.phenome-fppn.fr/m3p/arch/2017/c17001266,1266/DZ_PG_05/ZM4357/WW/Rep_6/22_06/ARCH2017-03-30,iPG026,WW,6,06/04/2017,08/06/2017,455
http://www.phenome-fppn.fr/m3p/arch/2017/c17001267,1267/DZ_PG_19/ZM4367/WW/Rep_6/22_07/ARCH2017-03-30,iPG117,WW,6,06/04/2017,19/06/2017,557
http://www.phenome-fppn.fr/m3p/arch/2017/c17001268,1268/DZ_PG_50/ZM4363/WW/Rep_6/22_08/ARCH2017-03-30,iPG233,WW,6,06/04/2017,12/06/2017,552
http://www.phenome-fppn.fr/m3p/arch/2017/c17001269,1269/DZ_PG_32/ZM4352/WW/Rep_6/22_09/ARCH2017-03-30,iPG155,WW,6,06/04/2017,08/06/2017,519
http://www.phenome-fppn.fr/m3p/arch/2017/c17001270,1270/DZ_PG_06/ZM4376/WW/Rep_6/22_10/ARCH2017-03-30,iPG029,WW,6,06/04/2017,14/06/2017,670
http://www.phenome-fppn.fr/m3p/arch/2017/c17001271,1271/DZ_PG_51/ZM4350/WW/Rep_6/22_11/ARCH2017-03-30,iPG234,WW,6,06/04/2017,09/06/2017,663
http://www.phenome-fppn.fr/m3p/arch/2017/c17001272,1272/DZ_PG_21/ZM4360/WW/Rep_6/22_12/ARCH2017-03-30,iPG120,WW,6,06/04/2017,08/06/2017,577
http://www.phenome-fppn.fr/m3p/arch/2017/c17001273,1273/DZ_PG_33/ZM4353/WW/Rep_6/22_13/ARCH2017-03-30,iPG158,WW,6,06/04/2017,09/06/2017,600
